fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Matt,Wallner,RF,L,R,26,76,220,Minnesota Twins,Forest Lake,MN,MLB
Byron,Buxton,DH,R,R,30,74,190,Minnesota Twins,Baxley,GA,MLB
Yency,Almonte,RP,R,R,29,77,223,Chicago Cubs,Miami,FL,MLB
Adbert,Alzolay,RP,R,R,28,73,208,Chicago Cubs,San Felix,Venezuela,MLB
Michael,Arias,SP,R,R,22,72,155,Chicago Cubs,Santo Domingo,Dominican Republic,MLB
Javier,Assad,RP,R,R,26,73,200,Chicago Cubs,Tijuana,Mexico,MLB
Ben,Brown,RP,R,R,24,78,210,Chicago Cubs,East Setauket,NY,MLB
Jose,Cuas,RP,R,R,29,75,195,Chicago Cubs,Santo Domingo,Dominican Republic,MLB
Kyle,Hendricks,SP,R,R,34,75,190,Chicago Cubs,Newport Beach,CA,MLB
Porter,Hodge,RP,R,R,22,76,230,Chicago Cubs,Salt Lake City,UT,MLB
Bailey,Horn,SP,L,L,26,74,210,Chicago Cubs,Waco,TX,MLB
Shota,Imanaga,SP,L,L,30,70,175,Chicago Cubs,Fukuoka,Japan,MLB
Caleb,Kilian,SP,R,R,26,76,180,Chicago Cubs,Anaheim,CA,MLB
Mark,Leiter,RP,R,R,32,72,210,Chicago Cubs,Fort Lauderdale,FL,MLB
Luke,Little,RP,L,L,23,80,220,Chicago Cubs,Charlotte,NC,MLB
Julian,Merryweather,RP,R,R,32,76,215,Chicago Cubs,Berkeley,CA,MLB
Daniel,Palencia,RP,R,R,23,71,160,Chicago Cubs,San Carlos,Venezuela,MLB
Michael,Rucker,RP,R,R,29,73,195,Chicago Cubs,Columbus,MS,MLB
Drew,Smyly,SP,L,L,34,74,188,Chicago Cubs,Little Rock,AR,MLB
Justin,Steele,SP,L,L,28,74,205,Chicago Cubs,Lucedale,MS,MLB
Jameson,Taillon,SP,R,R,32,77,230,Chicago Cubs,Lakeland,FL,MLB
Keegan,Thompson,RP,R,R,28,73,210,Chicago Cubs,Cullman,AL,MLB
Hayden,Wesneski,RP,R,R,26,75,210,Chicago Cubs,Houston,TX,MLB
Jordan,Wicks,SP,L,L,24,75,220,Chicago Cubs,Conway,AR,MLB
Miguel,Amaya,C,R,R,24,72,230,Chicago Cubs,Herrera,Panama,MLB
Yan,Gomes,C,R,R,36,74,212,Chicago Cubs,Sao Paulo,Brazil,MLB
Michael,Busch,3B,L,R,26,73,210,Chicago Cubs,Inver Grove Heights,MN,MLB
Nico,Hoerner,2B,R,R,26,73,200,Chicago Cubs,Oakland,CA,MLB
Nick,Madrigal,3B,R,R,26,68,175,Chicago Cubs,Sacramento,CA,MLB
Miles,Mastrobuoni,3B,L,R,28,70,185,Chicago Cubs,San Ramon,CA,MLB
Matt,Mervis,1B,L,R,25,74,225,Chicago Cubs,Washington,DC,MLB
Christopher,Morel,2B,R,R,24,71,145,Chicago Cubs,Santiago,Dominican Republic,MLB
Dansby,Swanson,SS,R,R,29,73,190,Chicago Cubs,Kennesaw,GA,MLB
Luis,Vazquez,SS,R,R,24,72,165,Chicago Cubs,Orocovis,Puerto Rico,MLB
Patrick,Wisdom,3B,R,R,32,74,220,Chicago Cubs,Murrieta,CA,MLB
Kevin,Alcantara,CF,R,R,21,78,188,Chicago Cubs,Santo Domingo,Dominican Republic,MLB
Alexander,Canario,CF,R,R,23,71,165,Chicago Cubs,Monte Cristi Province,Dominican Republic,MLB
Pete,Crow-Armstrong,CF,L,L,21,71,184,Chicago Cubs,Sherman Oaks,CA,MLB
Brennen,Davis,CF,R,R,24,72,210,Chicago Cubs,Chandler,AZ,MLB
Ian,Happ,LF,B,R,29,72,205,Chicago Cubs,Pittsburgh,PA,MLB
Seiya,Suzuki,RF,R,R,29,71,182,Chicago Cubs,Tokyo,Japan,MLB
Mike,Tauchman,CF,L,L,33,73,220,Chicago Cubs,Palatine,IL,MLB
Andrew,Abbott,SP,L,L,24,72,192,Cincinnati Reds,Lynchburg,VA,MLB
Tejay,Antone,RP,R,R,30,76,230,Cincinnati Reds,Oklahoma City,OK,MLB
Graham,Ashcraft,SP,L,R,25,74,248,Cincinnati Reds,Huntsville,AL,MLB
Fernando,Cruz,RP,R,R,33,74,237,Cincinnati Reds,Bayamon,Puerto Rico,MLB
Alexis,Diaz,RP,R,R,27,74,224,Cincinnati Reds,Humacao,Puerto Rico,MLB
Buck,Farmer,RP,L,R,32,76,243,Cincinnati Reds,Conyers,GA,MLB
Ian,Gibaut,RP,R,R,30,75,250,Cincinnati Reds,Houston,TX,MLB
Hunter,Greene,SP,R,R,24,77,242,Cincinnati Reds,Los Angeles,CA,MLB
Brett,Kennedy,RP,R,R,29,72,200,Cincinnati Reds,Pomona,NJ,MLB
Casey,Legumina,RP,R,R,26,74,195,Cincinnati Reds,Dallas,TX,MLB
Nick,Lodolo,SP,L,L,25,78,216,Cincinnati Reds,La Verne,CA,MLB
Nick,Martinez,RP,L,R,33,73,200,Cincinnati Reds,Miami,FL,MLB
Sam,Moll,RP,L,L,32,69,190,Cincinnati Reds,Lakeland,TN,MLB
Frankie,Montas,SP,R,R,30,74,255,Cincinnati Reds,Sainagua,Dominican Republic,MLB
Emilio,Pagan,RP,L,R,32,74,208,Cincinnati Reds,Simpsonville,SC,MLB
Connor,Phillips,SP,R,R,22,74,209,Cincinnati Reds,Houston,TX,MLB
Lyon,Richardson,SP,B,R,24,74,207,Cincinnati Reds,Jensen Beach,FL,MLB
Christian,Roa,SP,R,R,24,76,220,Cincinnati Reds,Houston,TX,MLB
Lucas,Sims,RP,R,R,29,74,213,Cincinnati Reds,Lawrenceville,GA,MLB
Carson,Spiers,SP,R,R,26,75,205,Cincinnati Reds,Greenville,SC,MLB
Levi,Stoudt,SP,R,R,26,73,195,Cincinnati Reds,Pottstown,PA,MLB
Brent,Suter,RP,L,L,34,76,213,Cincinnati Reds,Chicago,IL,MLB
Brandon,Williamson,SP,R,L,25,78,210,Cincinnati Reds,Fairmont,MN,MLB
Alex,Young,RP,L,L,30,75,220,Cincinnati Reds,Westlake,OH,MLB
Luke,Maile,C,R,R,32,75,225,Cincinnati Reds,Edgewood,KY,MLB
Tyler,Stephenson,C,R,R,27,76,225,Cincinnati Reds,Atlanta,GA,MLB
Jose,Barrero,SS,R,R,25,74,211,Cincinnati Reds,Havana,Cuba,MLB
Jeimer,Candelario,3B,B,R,30,74,222,Cincinnati Reds,New York,NY,MLB
Elly,De,3B,B,R,22,77,200,Cincinnati Reds,Sabana Grande de Boya,Dominican Republic,MLB
Christian,Encarnacion-Strand,1B,R,R,24,72,224,Cincinnati Reds,Walnut Creek,CA,MLB
Jonathan,India,2B,R,R,27,72,200,Cincinnati Reds,Coral Springs,FL,MLB
Noelvi,Marte,SS,R,R,22,72,216,Cincinnati Reds,Cotui,Dominican Republic,MLB
Matt,McLain,SS,R,R,24,68,180,Cincinnati Reds,Orange,CA,MLB
Spencer,Steer,1B,R,R,26,71,185,Cincinnati Reds,Long Beach,CA,MLB
Will,Benson,LF,L,L,25,77,230,Cincinnati Reds,Atlanta,GA,MLB
Stuart,Fairchild,LF,R,R,27,72,205,Cincinnati Reds,Seattle,WA,MLB
Jake,Fraley,RF,L,L,28,72,206,Cincinnati Reds,Frederick,MD,MLB
TJ,Friedl,CF,L,L,28,70,180,Cincinnati Reds,Sewickley,PA,MLB
Rece,Hinds,RF,R,R,23,76,215,Cincinnati Reds,Niceville,FL,MLB
Jacob,Hurtubise,CF,L,R,26,72,180,Cincinnati Reds,Indianapolis,IN,MLB
Nick,Martini,RF,L,L,33,71,205,Cincinnati Reds,Crystal Lake,IL,MLB
Clayton,Andrews,RP,L,L,27,66,160,Milwaukee Brewers,Petaluma,CA,MLB
Aaron,Ashby,SP,R,L,25,73,188,Milwaukee Brewers,Kansas City,MO,MLB
Bradley,Blalock,SP,R,R,23,74,200,Milwaukee Brewers,Conyers,GA,MLB
J.B.,Bukauskas,RP,R,R,27,72,208,Milwaukee Brewers,Ashburn,VA,MLB
Corbin,Burnes,SP,R,R,29,75,246,Milwaukee Brewers,Bakersfield,CA,MLB
Taylor,Clarke,RP,R,R,30,76,217,Milwaukee Brewers,Ashburn,VA,MLB
Bryan,Hudson,RP,L,L,26,80,220,Milwaukee Brewers,Godfrey,IL,MLB
Janson,Junk,SP,R,R,28,74,202,Milwaukee Brewers,Federal Way,WA,MLB
Trevor,Megill,RP,L,R,30,80,250,Milwaukee Brewers,Long Beach,CA,MLB
Wade,Miley,SP,L,L,37,73,220,Milwaukee Brewers,Hammond,LA,MLB
Hoby,Milner,RP,L,L,33,75,184,Milwaukee Brewers,Dallas,TX,MLB
Joel,Payamps,RP,R,R,29,74,217,Milwaukee Brewers,Santiago,Dominican Republic,MLB
Elvis,Peguero,RP,R,R,26,77,237,Milwaukee Brewers,Cotui,Dominican Republic,MLB
Freddy,Peralta,SP,R,R,27,72,196,Milwaukee Brewers,Moca,Dominican Republic,MLB
Colin,Rea,SP,R,R,33,77,218,Milwaukee Brewers,Cascade,IA,MLB
Joe,Ross,SP,R,R,30,76,232,Milwaukee Brewers,Berkeley,CA,MLB
Ethan,Small,SP,L,L,26,74,200,Milwaukee Brewers,Jackson,TN,MLB
Abner,Uribe,RP,R,R,23,75,225,Milwaukee Brewers,Santo Domingo,Dominican Republic,MLB
Thyago,Vieira,RP,R,R,31,75,265,Milwaukee Brewers,Sao Paulo,Brazil,MLB
Devin,Williams,RP,R,R,29,74,192,Milwaukee Brewers,St. Louis,MO,MLB
Bryse,Wilson,RP,R,R,26,74,267,Milwaukee Brewers,Durham,NC,MLB
William,Contreras,C,R,R,26,71,216,Milwaukee Brewers,Puerto Cabello,Venezuela,MLB
Eric,Haase,C,R,R,31,70,210,Milwaukee Brewers,Detroit,MI,MLB
Jeferson,Quero,C,R,R,21,71,215,Milwaukee Brewers,Barquisimeto,Venezuela,MLB
Willy,Adames,SS,R,R,28,73,214,Milwaukee Brewers,Santiago,Dominican Republic,MLB
Jake,Bauers,1B,L,L,28,71,195,Milwaukee Brewers,Newport Beach,CA,MLB
Vinny,Capra,3B,R,R,27,68,180,Milwaukee Brewers,Melbourne,FL,MLB
Oliver,Dunn,2B,L,R,26,70,185,Milwaukee Brewers,Salt Lake City,UT,MLB
Rhys,Hoskins,1B,R,R,30,76,245,Milwaukee Brewers,Sacramento,CA,MLB
Owen,Miller,2B,R,R,27,71,195,Milwaukee Brewers,Mequon,WI,MLB
Andruw,Monasterio,2B,R,R,26,71,186,Milwaukee Brewers,Caracas,Venezuela,MLB
Brice,Turang,2B,L,R,24,72,176,Milwaukee Brewers,Corona,CA,MLB
Jackson,Chourio,RF,R,R,19,71,165,Milwaukee Brewers,Maracaibo,Venezuela,MLB
Sal,Frelick,OF,L,R,23,70,182,Milwaukee Brewers,Boston,MA,MLB
Garrett,Mitchell,CF,L,R,25,75,224,Milwaukee Brewers,Orange,CA,MLB
Blake,Perkins,RF,B,R,27,71,197,Milwaukee Brewers,Litchfield Park,AZ,MLB
Chris,Roller,RF,R,R,27,71,190,Milwaukee Brewers,Austin,TX,MLB
Joey,Wiemer,CF,R,R,24,76,220,Milwaukee Brewers,Sylvania,OH,MLB
Christian,Yelich,LF,L,R,32,75,207,Milwaukee Brewers,Thousand Oaks,CA,MLB
Jahmai,Jones,DH,R,R,26,72,210,Milwaukee Brewers,Roswell,GA,MLB
Braxton,Ashcraft,RP,L,R,24,77,195,Pittsburgh Pirates,Waco,TX,MLB
David,Bednar,RP,L,R,29,72,225,Pittsburgh Pirates,Pittsburgh,PA,MLB
Ryan,Borucki,RP,L,L,29,76,210,Pittsburgh Pirates,Highland Park,IL,MLB
JT,Brubaker,SP,R,R,30,75,180,Pittsburgh Pirates,Springfield,OH,MLB
Mike,Burrows,SP,R,R,24,73,190,Pittsburgh Pirates,Waterford,CT,MLB
Roansy,Contreras,SP,R,R,24,73,205,Pittsburgh Pirates,Yamasa,Dominican Republic,MLB
Bailey,Falter,SP,R,L,26,76,175,Pittsburgh Pirates,Chino Hills,CA,MLB
Marco,Gonzales,SP,L,L,31,73,205,Pittsburgh Pirates,Fort Collins,CO,MLB
Jose,Hernandez,RP,L,L,26,75,205,Pittsburgh Pirates,Puerto Plata,Dominican Republic,MLB
Colin,Holderman,RP,R,R,28,76,230,Pittsburgh Pirates,Bourbonnais,IL,MLB
Mitch,Keller,SP,R,R,27,75,220,Pittsburgh Pirates,Cedar Rapids,IA,MLB
Carmen,Mlodzinski,RP,R,R,24,74,220,Pittsburgh Pirates,Hilton Head Island,SC,MLB
Dauri,Moreta,RP,R,R,27,74,185,Pittsburgh Pirates,Comendador,Dominican Republic,MLB
Kyle,Nicolas,SP,R,R,24,76,223,Pittsburgh Pirates,Massillon,OH,MLB
Luis,Ortiz,SP,R,R,24,74,235,Pittsburgh Pirates,San Pedro de Macoris,Dominican Republic,MLB
Johan,Oviedo,SP,R,R,25,77,245,Pittsburgh Pirates,Havana,Cuba,MLB
Martin,Perez,SP,L,L,32,72,200,Pittsburgh Pirates,Guanare,Venezuela,MLB
Quinn,Priester,SP,R,R,23,75,210,Pittsburgh Pirates,Glendale Heights,IL,MLB
Colin,Selby,RP,R,R,26,74,220,Pittsburgh Pirates,Chesapeake,VA,MLB
Jackson,Wolf,SP,L,L,24,79,205,Pittsburgh Pirates,Gahanna,OH,MLB
Jason,Delay,C,R,R,28,71,190,Pittsburgh Pirates,Plano,TX,MLB
Endy,Rodriguez,C,B,R,23,72,200,Pittsburgh Pirates,Santiago,Dominican Republic,MLB
Ali,Sanchez,C,R,R,27,73,200,Pittsburgh Pirates,Carora,Venezuela,MLB
Ji,Hwan,2B,L,R,24,71,185,Pittsburgh Pirates,Daegu,South Korea,MLB
Tsung-Che,Cheng,SS,L,R,22,67,173,Pittsburgh Pirates,Pingtung County,Taiwan,MLB
Oneil,Cruz,SS,L,R,25,79,215,Pittsburgh Pirates,Nizao,Dominican Republic,MLB
Nick,Gonzales,2B,R,R,24,69,190,Pittsburgh Pirates,Vail,AZ,MLB
Ke'Bryan,Hayes,3B,R,R,26,71,195,Pittsburgh Pirates,Tomball,TX,MLB
Liover,Peguero,SS,R,R,23,72,220,Pittsburgh Pirates,Higuey,Dominican Republic,MLB
Rowdy,Tellez,1B,L,L,28,76,270,Pittsburgh Pirates,Sacramento,CA,MLB
Jared,Triolo,3B,R,R,25,75,210,Pittsburgh Pirates,Nashua,NH,MLB
Alika,Williams,SS,R,R,24,73,180,Pittsburgh Pirates,San Diego,CA,MLB
Henry,Davis,RF,R,R,24,72,210,Pittsburgh Pirates,Bedford,NY,MLB
Connor,Joe,RF,R,R,31,72,205,Pittsburgh Pirates,San Diego,CA,MLB
Edward,Olivares,LF,R,R,27,74,190,Pittsburgh Pirates,Caracas,Venezuela,MLB
Joshua,Palacios,RF,L,R,28,73,200,Pittsburgh Pirates,Brooklyn,NY,MLB
Bryan,Reynolds,LF,B,R,28,74,205,Pittsburgh Pirates,Baltimore,MD,MLB
Canaan,Smith-Njigba,RF,L,R,24,72,230,Pittsburgh Pirates,Dallas,TX,MLB
Jack,Suwinski,CF,L,L,25,74,215,Pittsburgh Pirates,Chicago,IL,MLB
Andrew,McCutchen,DH,R,R,37,70,190,Pittsburgh Pirates,Fort Meade,FL,MLB
Jacob,Barnes,RP,R,R,33,74,231,St. Louis Cardinals,St. Petersburg,FL,MLB
Ryan,Fernandez,RP,R,R,25,72,170,St. Louis Cardinals,Tampa,FL,MLB
Giovanny,Gallegos,RP,R,R,32,74,215,St. Louis Cardinals,Obregon,Mexico,MLB
Kyle,Gibson,SP,R,R,36,78,200,St. Louis Cardinals,Greenfield,IN,MLB
Sonny,Gray,SP,R,R,34,70,195,St. Louis Cardinals,Smyrna,TN,MLB
Ryan,Helsley,RP,R,R,29,74,230,St. Louis Cardinals,Tahlequah,OK,MLB
John,King,RP,L,L,29,74,215,St. Louis Cardinals,Laredo,TX,MLB
Andrew,Kittredge,RP,R,R,33,73,230,St. Louis Cardinals,Spokane,WA,MLB
Adam,Kloffenstein,SP,R,R,23,77,243,St. Louis Cardinals,Magnolia,TX,MLB
Matthew,Liberatore,SP,L,L,24,76,200,St. Louis Cardinals,Peoria,AZ,MLB
Lance,Lynn,SP,B,R,36,77,270,St. Louis Cardinals,Marion,IN,MLB
Steven,Matz,SP,R,L,32,74,201,St. Louis Cardinals,Stony Brook,NY,MLB
Miles,Mikolas,SP,R,R,35,76,230,St. Louis Cardinals,Jupiter,FL,MLB
James,Naile,RP,R,R,30,76,185,St. Louis Cardinals,Cape Girardeau,MO,MLB
Riley,O'Brien,RP,R,R,28,76,180,St. Louis Cardinals,Seattle,WA,MLB
Andre,Pallante,RP,R,R,25,72,203,St. Louis Cardinals,Mission Viejo,CA,MLB
Sem,Robberse,SP,R,R,22,73,185,St. Louis Cardinals,Zeist,Netherlands,MLB
Nick,Robertson,RP,R,R,25,78,265,St. Louis Cardinals,Roanoke,VA,MLB
Drew,Rom,SP,L,L,24,74,215,St. Louis Cardinals,Cincinnati,OH,MLB
JoJo,Romero,RP,L,L,27,71,200,St. Louis Cardinals,Camarillo,CA,MLB
Ryan,Tepera,RP,R,R,36,73,195,St. Louis Cardinals,Houston,TX,MLB
Zack,Thompson,RP,L,L,26,74,215,St. Louis Cardinals,Selma,IN,MLB
Guillermo,Zuniga,RP,R,R,25,77,230,St. Louis Cardinals,Cartagena,Colombia,MLB
Willson,Contreras,C,R,R,31,73,225,St. Louis Cardinals,Puerto Cabello,Venezuela,MLB
Ivan,Herrera,C,R,R,23,71,220,St. Louis Cardinals,Panama City,Panama,MLB
Pedro,Pages,C,R,R,25,73,234,St. Louis Cardinals,Maracay,Venezuela,MLB
Nolan,Arenado,3B,R,R,32,74,215,St. Louis Cardinals,Newport Beach,CA,MLB
Luken,Baker,1B,R,R,26,76,280,St. Louis Cardinals,Houston,TX,MLB
Brendan,Donovan,2B,L,R,27,73,195,St. Louis Cardinals,Enterprise,AL,MLB
Tommy,Edman,SS,B,R,28,70,180,St. Louis Cardinals,Pontiac,MI,MLB
Jose,Fermin,2B,R,R,24,69,200,St. Louis Cardinals,Puerto Plata,Dominican Republic,MLB
Paul,Goldschmidt,1B,R,R,36,75,220,St. Louis Cardinals,Wilmington,DE,MLB
Nolan,Gorman,2B,L,R,23,73,210,St. Louis Cardinals,Phoenix,AZ,MLB
Buddy,Kennedy,2B,R,R,25,69,190,St. Louis Cardinals,Millville,NJ,MLB
Juniel,Querecuto,3B,B,R,31,69,195,St. Louis Cardinals,Barquisimeto,Venezuela,MLB
Masyn,Winn,SS,R,R,21,71,180,St. Louis Cardinals,Katy,TX,MLB
Jared,Young,1B,L,R,28,72,185,St. Louis Cardinals,Prince George,Canada,MLB
Alec,Burleson,LF,L,L,25,74,212,St. Louis Cardinals,Charlotte,NC,MLB
Dylan,Carlson,CF,B,L,25,74,205,St. Louis Cardinals,Elk Grove,CA,MLB
Moises,Gomez,OF,R,R,25,71,200,St. Louis Cardinals,Caracas,Venezuela,MLB
Lars,Nootbaar,CF,L,R,26,75,210,St. Louis Cardinals,El Segundo,CA,MLB
Michael,Siani,CF,L,L,24,73,188,St. Louis Cardinals,Glenside,PA,MLB
Jordan,Walker,RF,R,R,21,78,245,St. Louis Cardinals,Stone Mountain,GA,MLB
Matt,Carpenter,DH,L,R,38,76,210,St. Louis Cardinals,Galveston,TX,MLB
Bryan,Abreu,RP,R,R,26,73,225,Houston Astros,Santo Domingo,Dominican Republic,MLB
Brandon,Bielak,SP,L,R,27,74,208,Houston Astros,Edison,NJ,MLB
Ronel,Blanco,SP,R,R,30,72,180,Houston Astros,Santiago,Dominican Republic,MLB
Hunter,Brown,SP,R,R,25,74,212,Houston Astros,Detroit,MI,MLB
Dylan,Coleman,RP,R,R,27,77,230,Houston Astros,Potosi,MO,MLB
Declan,Cronin,RP,R,R,26,76,225,Houston Astros,Glen Ridge,NJ,MLB
Shawn,Dubin,RP,R,R,28,73,171,Houston Astros,Allegany,NY,MLB
J.P.,France,SP,R,R,28,72,216,Houston Astros,New Orleans,LA,MLB
Luis,Garcia,SP,R,R,27,71,244,Houston Astros,Barinitas,Venezuela,MLB
Kendall,Graveman,RP,R,R,33,74,200,Houston Astros,Alexander City,AL,MLB
Josh,Hader,RP,L,L,29,71,180,Houston Astros,Millersville,MD,MLB
Cristian,Javier,SP,R,R,26,73,213,Houston Astros,Santo Domingo,Dominican Republic,MLB
Seth,Martinez,RP,R,R,29,74,200,Houston Astros,Peoria,AZ,MLB
Lance,McCullers,SP,L,R,30,73,202,Houston Astros,Tampa,FL,MLB
Rafael,Montero,RP,R,R,33,72,190,Houston Astros,Higuerito,Dominican Republic,MLB
Parker,Mushinski,RP,L,L,28,72,218,Houston Astros,Arlington,TX,MLB
Oliver,Ortega,RP,R,R,27,72,165,Houston Astros,Nagua,Dominican Republic,MLB
Ryan,Pressly,RP,R,R,35,74,206,Houston Astros,Dallas,TX,MLB
Bennett,Sousa,RP,L,L,28,75,220,Houston Astros,North Palm Beach,FL,MLB
Jose,Urquidy,SP,R,R,28,72,217,Houston Astros,Sinaloa,Mexico,MLB
Framber,Valdez,SP,R,L,30,71,239,Houston Astros,Sabana Grande de Palenque,Dominican Republic,MLB
Justin,Verlander,SP,R,R,40,77,235,Houston Astros,Manakin Sabot,VA,MLB
Forrest,Whitley,SP,R,R,26,79,238,Houston Astros,San Antonio,TX,MLB
Victor,Caratini,C,B,R,30,71,225,Houston Astros,Ponce,Puerto Rico,MLB
Yainer,Diaz,C,R,R,25,72,195,Houston Astros,Azua Province,Dominican Republic,MLB
Cesar,Salazar,C,L,R,27,69,185,Houston Astros,Hermosillo,Mexico,MLB
Jose,Abreu,1B,R,R,36,75,235,Houston Astros,Cienfuegos,Cuba,MLB
Jose,Altuve,2B,R,R,33,66,166,Houston Astros,Maracay,Venezuela,MLB
Alex,Bregman,3B,R,R,29,72,192,Houston Astros,Albuquerque,NM,MLB
Mauricio,Dubon,2B,R,R,29,72,173,Houston Astros,San Pedro Sula,Honduras,MLB
David,Hensley,2B,R,R,27,78,190,Houston Astros,San Diego,CA,MLB
Grae,Kessinger,SS,R,R,26,73,204,Houston Astros,Oxford,MS,MLB
Jeremy,Pena,SS,R,R,26,72,202,Houston Astros,Santo Domingo,Dominican Republic,MLB
Jon,Singleton,1B,L,L,32,72,256,Houston Astros,Harbor City,CA,MLB
Yordan,Alvarez,LF,L,R,26,77,225,Houston Astros,Las Tunas,Cuba,MLB
Kenedy,Corona,CF,R,R,23,70,184,Houston Astros,Maracaibo,Venezuela,MLB
Corey,Julks,LF,R,R,27,73,185,Houston Astros,Friendswood,TX,MLB
Chas,McCormick,CF,R,L,28,72,208,Houston Astros,West Chester,PA,MLB
Jake,Meyers,CF,R,L,27,72,200,Houston Astros,Omaha,NE,MLB
Kyle,Tucker,RF,L,R,27,76,199,Houston Astros,Tampa,FL,MLB
Tyler,Anderson,SP,L,L,34,74,220,Los Angeles Angels,Las Vegas,NV,MLB
Sam,Bachman,RP,R,R,24,73,235,Los Angeles Angels,Indianapolis,IN,MLB
Kelvin,Caceres,RP,R,R,24,73,205,Los Angeles Angels,Santiago,Dominican Republic,MLB
Griffin,Canning,SP,R,R,27,74,180,Los Angeles Angels,Mission Viejo,CA,MLB
Adam,Cimber,RP,R,R,33,75,195,Los Angeles Angels,Portland,OR,MLB
Davis,Daniel,SP,R,R,26,73,190,Los Angeles Angels,Atlanta,GA,MLB
Reid,Detmers,SP,L,L,24,74,210,Los Angeles Angels,Nokomis,IL,MLB
Carlos,Estevez,RP,R,R,31,78,277,Los Angeles Angels,Santo Domingo,Dominican Republic,MLB
Luis,Garcia,RP,R,R,36,74,240,Los Angeles Angels,Santo Domingo,Dominican Republic,MLB
Jimmy,Herget,RP,R,R,30,75,170,Los Angeles Angels,Tampa,FL,MLB
Kolton,Ingram,RP,L,L,27,69,170,Los Angeles Angels,Columbus,GA,MLB
Ben,Joyce,RP,R,R,23,77,225,Los Angeles Angels,Knoxville,TN,MLB
Jack,Kochanowicz,SP,L,R,23,79,228,Los Angeles Angels,Philadelphia,PA,MLB
Adam,Kolarek,RP,L,L,35,75,215,Los Angeles Angels,Baltimore,MD,MLB
Victor,Mederos,SP,R,R,22,74,227,Los Angeles Angels,Santa Clara,Cuba,MLB
Matt,Moore,RP,L,L,34,75,210,Los Angeles Angels,Fort Walton Beach,FL,MLB
Zach,Plesac,SP,R,R,29,75,220,Los Angeles Angels,Crown Point,IN,MLB
Jose,Quijada,RP,L,L,28,71,215,Los Angeles Angels,Caripito,Venezuela,MLB
Kenny,Rosenberg,RP,L,L,28,73,195,Los Angeles Angels,Mill Valley,CA,MLB
Patrick,Sandoval,SP,L,L,27,75,190,Los Angeles Angels,Mission Viejo,CA,MLB
Chase,Silseth,SP,R,R,23,72,217,Los Angeles Angels,Farmington,NM,MLB
Jose,Soriano,RP,R,R,25,75,220,Los Angeles Angels,Santo Domingo,Dominican Republic,MLB
Robert,Stephenson,RP,R,R,30,75,205,Los Angeles Angels,Martinez,CA,MLB
Jose,Suarez,SP,L,L,26,70,225,Los Angeles Angels,Naguanagua,Venezuela,MLB
Andrew,Wantz,RP,R,R,28,76,235,Los Angeles Angels,Erie,PA,MLB
Austin,Warren,RP,R,R,27,72,170,Los Angeles Angels,Fayetteville,NC,MLB
Logan,O'Hoppe,C,R,R,23,74,185,Los Angeles Angels,West Islip,NY,MLB
Matt,Thaiss,C,L,R,28,72,215,Los Angeles Angels,Jackson,NJ,MLB
C.J.,Cron,1B,R,R,34,76,235,Los Angeles Angels,Fullerton,CA,MLB
Brandon,Drury,2B,R,R,31,74,230,Los Angeles Angels,Grants Pass,OR,MLB
Zach,Neto,SS,R,R,22,72,185,Los Angeles Angels,Miami,FL,MLB
Kyren,Paris,2B,R,R,22,72,180,Los Angeles Angels,Oakley,CA,MLB
Anthony,Rendon,3B,R,R,33,73,200,Los Angeles Angels,Houston,TX,MLB
Luis,Rengifo,2B,B,R,26,70,195,Los Angeles Angels,Naguanagua,Venezuela,MLB
Nolan,Schanuel,1B,L,R,21,76,220,Los Angeles Angels,Boca Raton,FL,MLB
Livan,Soto,2B,L,R,23,70,160,Los Angeles Angels,Valencia,Venezuela,MLB
Michael,Stefanic,2B,R,R,27,68,180,Los Angeles Angels,Boise,ID,MLB
Jordyn,Adams,CF,R,R,24,74,181,Los Angeles Angels,Gulfport,MS,MLB
Jo,Adell,RF,R,R,24,75,215,Los Angeles Angels,Shelby,NC,MLB
Mickey,Moniak,RF,L,R,25,74,195,Los Angeles Angels,Encinitas,CA,MLB
Brett,Phillips,CF,L,R,29,72,195,Los Angeles Angels,Seminole,FL,MLB
Mike,Trout,CF,R,R,32,74,235,Los Angeles Angels,Vineland,NJ,MLB
Taylor,Ward,LF,R,R,30,73,200,Los Angeles Angels,Dayton,OH,MLB
Brady,Basso,SP,R,L,26,74,213,Oakland Athletics,Pearland,TX,MLB
Osvaldo,Bido,SP,R,R,28,75,175,Oakland Athletics,Los Hidalgos,Dominican Republic,MLB
Paul,Blackburn,SP,R,R,30,73,196,Oakland Athletics,Antioch,CA,MLB
Joe,Boyle,RP,R,R,24,79,240,Oakland Athletics,O'Fallon,MO,MLB
Lucas,Erceg,RP,L,R,28,74,214,Oakland Athletics,San Jose,CA,MLB
Joey,Estes,SP,R,R,22,74,190,Oakland Athletics,Palmdale,CA,MLB
Angel,Felipe,RP,R,R,26,77,190,Oakland Athletics,Villa Mella,Dominican Republic,MLB
Trevor,Gott,RP,R,R,31,71,185,Oakland Athletics,Lexington,KY,MLB
Hogan,Harris,RP,R,L,27,75,230,Oakland Athletics,Lafayette,LA,MLB
Zach,Jackson,RP,R,R,29,76,230,Oakland Athletics,Tulsa,OK,MLB
