fname,lname,POS,BAT,THW,Age,HT,WT,Team,city,state,League
Taj,Bradley,SP,R,R,22,74,190,Tampa Bay Rays,Los Angeles,CA,MLB
Aaron,Civale,SP,R,R,28,74,215,Tampa Bay Rays,East Windsor,CT,MLB
Garrett,Cleavinger,RP,R,L,29,73,220,Tampa Bay Rays,Lawrence,KS,MLB
Yoniel,Curet,SP,R,R,21,74,190,Tampa Bay Rays,San Pedro de Macoris,Dominican Republic,MLB
Chris,Devenski,RP,R,R,33,75,211,Tampa Bay Rays,Cerritos,CA,MLB
Zach,Eflin,SP,R,R,29,78,220,Tampa Bay Rays,Orlando,FL,MLB
Pete,Fairbanks,RP,R,R,30,78,225,Tampa Bay Rays,Milwaukee,WI,MLB
Kevin,Kelly,RP,R,R,26,74,200,Tampa Bay Rays,Springfield,VA,MLB
Zack,Littell,RP,R,R,28,76,220,Tampa Bay Rays,Burlington,NC,MLB
Jacob,Lopez,SP,L,L,25,76,220,Tampa Bay Rays,Granada Hills,CA,MLB
Shane,McClanahan,SP,L,L,26,73,200,Tampa Bay Rays,Baltimore,MD,MLB
Ryan,Pepiot,SP,R,R,26,75,215,Tampa Bay Rays,Indianapolis,IN,MLB
Colin,Poche,RP,L,L,30,75,225,Tampa Bay Rays,Flower Mound,TX,MLB
Drew,Rasmussen,SP,R,R,28,73,211,Tampa Bay Rays,Puyallup,WA,MLB
Manuel,Rodriguez,RP,R,R,27,71,210,Tampa Bay Rays,Yucatan,Mexico,MLB
Jeffrey,Springs,SP,L,L,31,75,218,Tampa Bay Rays,Belmont,NC,MLB
Colby,White,RP,R,R,25,72,190,Tampa Bay Rays,Hattiesburg,MS,MLB
Rene,Pinto,C,R,R,27,70,195,Tampa Bay Rays,Maracay,Venezuela,MLB
Jonathan,Aranda,2B,L,R,25,72,210,Tampa Bay Rays,Baja California,Mexico,MLB
Osleivis,Basabe,SS,R,R,23,71,188,Tampa Bay Rays,Bobures,Venezuela,MLB
Jose,Caballero,2B,R,R,27,69,185,Tampa Bay Rays,Las Tablas,Panama,MLB
Junior,Caminero,SS,R,R,20,73,157,Tampa Bay Rays,Santo Domingo,Dominican Republic,MLB
Yandy,Diaz,1B,R,R,32,74,215,Tampa Bay Rays,Villa Clara,Cuba,MLB
Wander,Franco,SS,B,R,22,70,189,Tampa Bay Rays,Bani,Dominican Republic,MLB
Greg,Jones,SS,B,R,25,74,175,Tampa Bay Rays,Cary,NC,MLB
Brandon,Lowe,2B,L,R,29,70,185,Tampa Bay Rays,Suffolk,VA,MLB
Curtis,Mead,2B,R,R,23,72,171,Tampa Bay Rays,Adelaide,Australia,MLB
Isaac,Paredes,3B,R,R,24,71,213,Tampa Bay Rays,Sonora,Mexico,MLB
Austin,Shenton,1B,L,R,26,72,205,Tampa Bay Rays,Spokane,WA,MLB
Taylor,Walls,3B,B,R,27,70,185,Tampa Bay Rays,Cordele,GA,MLB
Randy,Arozarena,LF,R,R,28,71,185,Tampa Bay Rays,Havana,Cuba,MLB
Jonny,Deluca,LF,R,R,25,72,200,Tampa Bay Rays,Thousand Oaks,CA,MLB
Josh,Lowe,RF,L,R,25,76,205,Tampa Bay Rays,Chesapeake,VA,MLB
Richie,Palacios,OF,L,R,26,70,180,Tampa Bay Rays,Brooklyn,NY,MLB
Jose,Siri,CF,R,R,28,74,175,Tampa Bay Rays,Sabana Grande de Boya,Dominican Republic,MLB
Raimel,Tapia,RF,L,L,29,75,178,Tampa Bay Rays,San Pedro de Macoris,Dominican Republic,MLB
Harold,Ramirez,DH,R,R,29,70,232,Tampa Bay Rays,Cartagena,Colombia,MLB
Chris,Bassitt,SP,R,R,34,77,217,Toronto Blue Jays,Toledo,OH,MLB
Jose,Berrios,SP,R,R,29,72,205,Toronto Blue Jays,Bayamon,Puerto Rico,MLB
Genesis,Cabrera,RP,L,L,27,74,180,Toronto Blue Jays,Santo Domingo,Dominican Republic,MLB
Hagen,Danner,RP,R,R,25,73,215,Toronto Blue Jays,Newport Beach,CA,MLB
Bowden,Francis,RP,R,R,27,77,220,Toronto Blue Jays,Tallahassee,FL,MLB
Yimi,Garcia,RP,R,R,33,73,230,Toronto Blue Jays,Moca,Dominican Republic,MLB
Kevin,Gausman,SP,L,R,33,74,205,Toronto Blue Jays,Centennial,CO,MLB
Chad,Green,RP,L,R,32,75,215,Toronto Blue Jays,Greenville,SC,MLB
Yusei,Kikuchi,SP,L,L,32,72,210,Toronto Blue Jays,Iwate,Japan,MLB
Brendon,Little,SP,L,L,27,74,195,Toronto Blue Jays,Bryn Mawr,PA,MLB
Adam,Macko,SP,L,L,23,72,170,Toronto Blue Jays,Bratislava,Slovakia,MLB
Alek,Manoah,SP,R,R,26,78,285,Toronto Blue Jays,Homestead,FL,MLB
Tim,Mayza,RP,L,L,32,75,215,Toronto Blue Jays,Allentown,PA,MLB
Wes,Parsons,RP,R,R,31,77,206,Toronto Blue Jays,Clarksville,TN,MLB
Nate,Pearson,RP,R,R,27,78,255,Toronto Blue Jays,Odessa,FL,MLB
